window_start,market,entry_ts,side,prob_at_entry,prob_favorite,entry_price,remaining_s,spread,spread_pct,bid_depth,ask_depth,total_depth,imbalance,latency_ms,outcome,won,pnl
2026-02-06T01:15:00,XRP15m,2026-02-06T01:26:00.908000,UP,0.9895,0.9895,0.9895,239.1,0.0010,0.10,2640,2178,4818,0.0960,177,UP,YES,+0.0105
2026-02-06T01:30:00,XRP15m,2026-02-06T01:41:00.212000,DOWN,0.0025,0.9975,0.9975,239.8,0.0010,0.10,531,3056,3587,-0.7039,211,DOWN,YES,+0.0025
2026-02-06T01:45:00,XRP15m,2026-02-06T01:59:07.227000,UP,0.9750,0.9750,0.9750,52.8,0.0100,1.03,2462,2343,4805,0.0246,155,UP,YES,+0.0250
2026-02-06T02:00:00,XRP15m,2026-02-06T02:11:00.037000,UP,0.9895,0.9895,0.9895,240.0,0.0010,0.10,2905,2324,5229,0.1113,214,UP,YES,+0.0105
2026-02-06T02:15:00,XRP15m,2026-02-06T02:26:00.220000,DOWN,0.0065,0.9935,0.9935,239.8,0.0070,0.70,918,2405,3323,-0.4475,182,DOWN,YES,+0.0065
2026-02-06T02:30:00,XRP15m,2026-02-06T02:42:01.253000,UP,0.9850,0.9850,0.9850,178.7,0.0100,1.02,2961,2904,5865,0.0096,200,UP,YES,+0.0150
2026-02-06T02:45:00,XRP15m,2026-02-06T02:56:47.941000,UP,0.9855,0.9855,0.9855,192.1,0.0090,0.91,3012,2678,5689,0.0587,245,UP,YES,+0.0145
2026-02-06T03:00:00,XRP15m,2026-02-06T03:11:44.989000,DOWN,0.0450,0.9550,0.9550,195.0,0.0100,1.05,3595,3877,7471,-0.0378,211,DOWN,YES,+0.0450
2026-02-06T03:15:00,XRP15m,2026-02-06T03:26:49.520000,DOWN,0.0450,0.9550,0.9550,190.5,0.0100,1.05,4330,4690,9020,-0.0398,164,DOWN,YES,+0.0450
2026-02-06T03:30:00,XRP15m,2026-02-06T03:43:59.214000,DOWN,0.0350,0.9650,0.9650,60.8,0.0100,1.04,3137,4210,7347,-0.1460,158,DOWN,YES,+0.0350
2026-02-06T03:45:00,XRP15m,2026-02-06T03:59:11.580000,DOWN,0.0450,0.9550,0.9550,48.4,0.0300,3.14,2930,5994,8924,-0.3433,281,DOWN,YES,+0.0450
2026-02-06T04:00:00,XRP15m,2026-02-06T04:12:00.395000,DOWN,0.0105,0.9895,0.9895,179.6,0.0010,0.10,2951,3230,6181,-0.0450,163,DOWN,YES,+0.0105
2026-02-06T04:15:00,XRP15m,2026-02-06T04:29:16.693000,UP,0.9550,0.9550,0.9550,43.3,0.0100,1.05,3718,3300,7017,0.0596,151,UP,YES,+0.0450
2026-02-06T04:30:00,XRP15m,2026-02-06T04:41:17.933000,UP,0.9550,0.9550,0.9550,222.1,0.0100,1.05,4896,4083,8979,0.0905,243,UP,YES,+0.0450
2026-02-06T04:45:00,XRP15m,2026-02-06T04:56:11.478000,DOWN,0.0145,0.9855,0.9855,228.5,0.0090,0.91,2150,2382,4531,-0.0512,165,DOWN,YES,+0.0145
2026-02-06T05:00:00,XRP15m,2026-02-06T05:11:00.648000,UP,0.9750,0.9750,0.9750,239.4,0.0100,1.03,4140,3473,7613,0.0875,204,UP,YES,+0.0250
2026-02-06T05:15:00,XRP15m,2026-02-06T05:27:01.510000,DOWN,0.0450,0.9550,0.9550,178.5,0.0100,1.05,3560,4319,7879,-0.0964,178,DOWN,YES,+0.0450
2026-02-06T05:45:00,XRP15m,2026-02-06T05:56:00.923000,UP,0.9900,0.9900,0.9900,239.1,0.0000,0.00,4150,0,4150,1.0000,268,UP,YES,+0.0100
2026-02-06T06:00:00,XRP15m,2026-02-06T06:11:12.568000,DOWN,0.0350,0.9650,0.9650,227.4,0.0100,1.04,3322,3687,7009,-0.0520,189,DOWN,YES,+0.0350
