window_start,market,side,entry_price,original_outcome,original_won,original_pnl,exit_triggered,exit_action,exit_reason,exit_price,defense_pnl,defense_saved,flip_triggered,flip_side,flip_pnl
2026-02-05T21:00:00,SOL15m,DOWN,0.9925,DOWN,YES,+0.0075,NO,,,,,,NO,,
2026-02-05T21:15:00,SOL15m,DOWN,0.9500,DOWN,YES,+0.0500,NO,,,,,,NO,,
2026-02-05T21:30:00,SOL15m,UP,0.9940,UP,YES,+0.0060,NO,,,,,,NO,,
2026-02-05T21:45:00,SOL15m,UP,0.9650,UP,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T22:00:00,SOL15m,UP,0.9750,UP,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T22:15:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T22:30:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T22:45:00,SOL15m,UP,0.9850,UP,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T23:00:00,SOL15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T23:15:00,SOL15m,DOWN,0.9500,DOWN,YES,+0.0500,NO,,,,,,NO,,
2026-02-05T23:30:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T23:45:00,SOL15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-06T00:00:00,SOL15m,DOWN,0.9500,DOWN,YES,+0.0500,NO,,,,,,NO,,
2026-02-06T00:15:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-06T00:30:00,SOL15m,DOWN,0.9500,DOWN,YES,+0.0500,NO,,,,,,NO,,
2026-02-06T00:45:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-06T01:15:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-06T01:30:00,SOL15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-06T01:45:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-06T02:00:00,SOL15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-06T02:15:00,SOL15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
