timestamp,datetime,market,side,entry_price,prob,remaining_s,score,confidence,result,won,pnl
01:11:53,Feb 08 01:11:53,ETH15m,DOWN,0.0350,96.5%,187,0.69,unknown,UP,NO,-5.00
01:11:53,Feb 08 01:11:53,SOL15m,DOWN,0.0250,97.5%,187,0.63,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:54,Feb 08 01:11:54,BTC15m,DOWN,0.0250,97.5%,186,0.69,unknown,UP,NO,-5.00
01:11:54,Feb 08 01:11:54,ETH15m,DOWN,0.0350,96.5%,186,0.70,unknown,UP,NO,-5.00
01:11:54,Feb 08 01:11:54,SOL15m,DOWN,0.0250,97.5%,186,0.64,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:55,Feb 08 01:11:55,BTC15m,DOWN,0.0250,97.5%,185,0.69,unknown,UP,NO,-5.00
01:11:55,Feb 08 01:11:55,ETH15m,DOWN,0.0350,96.5%,185,0.70,unknown,UP,NO,-5.00
01:11:55,Feb 08 01:11:55,SOL15m,DOWN,0.0250,97.5%,185,0.63,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:56,Feb 08 01:11:56,BTC15m,DOWN,0.0250,97.5%,184,0.69,unknown,UP,NO,-5.00
01:11:56,Feb 08 01:11:56,ETH15m,DOWN,0.0350,96.5%,184,0.70,unknown,UP,NO,-5.00
01:11:56,Feb 08 01:11:56,SOL15m,DOWN,0.0250,97.5%,184,0.63,unknown,UNKNOWN,UNKNOWN,UNKNOWN
01:11:57,Feb 08 01:11:57,BTC15m,DOWN,0.0250,97.5%,183,0.67,unknown,UP,NO,-5.00
01:11:57,Feb 08 01:11:57,ETH15m,DOWN,0.0350,96.5%,183,0.70,unknown,UP,NO,-5.00
01:11:58,Feb 08 01:11:58,BTC15m,DOWN,0.0250,97.5%,182,0.68,unknown,UP,NO,-5.00
01:11:58,Feb 08 01:11:58,ETH15m,DOWN,0.0350,96.5%,182,0.70,unknown,UP,NO,-5.00
01:11:59,Feb 08 01:11:59,BTC15m,DOWN,0.0250,97.5%,181,0.68,unknown,UP,NO,-5.00
01:11:59,Feb 08 01:11:59,ETH15m,DOWN,0.0350,96.5%,181,0.70,unknown,UP,NO,-5.00
01:12:00,Feb 08 01:12:00,BTC15m,DOWN,0.0250,97.5%,180,0.68,unknown,UP,NO,-5.00
01:12:00,Feb 08 01:12:00,ETH15m,DOWN,0.0350,96.5%,180,0.70,unknown,UP,NO,-5.00
01:12:01,Feb 08 01:12:01,BTC15m,DOWN,0.0250,97.5%,179,0.68,unknown,UP,NO,-5.00
01:12:01,Feb 08 01:12:01,ETH15m,DOWN,0.0250,97.5%,179,0.68,unknown,UP,NO,-5.00
01:12:02,Feb 08 01:12:02,BTC15m,DOWN,0.0250,97.5%,178,0.68,unknown,UP,NO,-5.00
01:12:02,Feb 08 01:12:02,ETH15m,DOWN,0.0250,97.5%,178,0.70,unknown,UP,NO,-5.00
01:12:03,Feb 08 01:12:03,BTC15m,DOWN,0.0250,97.5%,177,0.68,unknown,UP,NO,-5.00
01:12:03,Feb 08 01:12:03,ETH15m,DOWN,0.0250,97.5%,177,0.70,unknown,UP,NO,-5.00
01:12:04,Feb 08 01:12:04,BTC15m,DOWN,0.0250,97.5%,176,0.69,unknown,UP,NO,-5.00
01:12:04,Feb 08 01:12:04,ETH15m,DOWN,0.0250,97.5%,176,0.70,unknown,UP,NO,-5.00
01:12:05,Feb 08 01:12:05,BTC15m,DOWN,0.0250,97.5%,175,0.69,unknown,UP,NO,-5.00
01:12:05,Feb 08 01:12:05,ETH15m,DOWN,0.0250,97.5%,175,0.70,unknown,UP,NO,-5.00
01:12:06,Feb 08 01:12:06,BTC15m,DOWN,0.0250,97.5%,174,0.69,unknown,UP,NO,-5.00
